publishedAt,authorDisplayName,textDisplay,likeCount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T08:23:04Z,Akhmad,Ronaldo🐐🇵🇹,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T08:15:45Z,Ryan Gans,buktin aja dulu pak erik thoir suruh main bola aja messi ga mau apa lagi di suruh yang lain nya pak [joy][joy],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:55:00Z,Pance Simatupang,Nuklir jangan. Itu gk bagus utk kesehatan. Lihat jepang bekas bom nagasaki daerahnya terkontaminasi dgn nuklir. Org2nya kenak bnyk penyakit gara2 itu.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:52:09Z,Apang75,Tebak skor Indonesia (1) vs (2) Argentina bagi saya,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:33:29Z,Dodo Messi,"<a href=""https://www.youtube.com/watch?v=XzYWdbwecnc&amp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:30:18Z,Ananta Dafa Isna Saputra,RONALDO GOAT!!! SIUUU!!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:26:59Z,Dodo Messi,"<a href=""https://www.youtube.com/watch?v=XzYWdbwecnc&amp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:11:21Z,doni indrawan,Jadi gak rela pak ET maju jadi cawapres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T07:06:33Z,barlas official19,Pak eric datangkan cr7 dkk tahun depan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T06:42:08Z,Ayash Athaiyan,Saya juga optimis 1-0 untuk siapa.....🇮🇩,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T06:36:40Z,Agrip Pila,Menang untuk skrg ini penting bro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T06:15:58Z,Fafa kun,Fokus bola seperti dlu fokus di perbasi dari pada politik yg bisa berganti2 mending fokus olahraga yg bertahan lama,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
